block,supply,timestamp
7385033,73.42148386,2019-03-17T07:01:21
7383658,73.42148386,2019-03-17T01:52:54
7382283,73.42148386,2019-03-16T20:42:26
7380908,73.42148386,2019-03-16T15:37:23
7379533,73.42148386,2019-03-16T10:29:37
7378158,73.42148386,2019-03-16T05:29:42
7376783,73.42148386,2019-03-16T00:26:10
7375408,73.42148386,2019-03-15T19:11:41
7374033,73.42148386,2019-03-15T14:04:58
7372658,73.42148386,2019-03-15T09:00:00
7371283,73.42148386,2019-03-15T03:52:49
7369908,73.42148386,2019-03-14T22:55:52
7368533,73.42148386,2019-03-14T17:43:11
7367158,73.42148386,2019-03-14T12:37:36
7365783,73.42148386,2019-03-14T07:24:37
7364408,73.42148386,2019-03-14T02:13:37
7363033,73.42148386,2019-03-13T21:11:27
7361658,73.42148386,2019-03-13T16:04:32
7360283,73.42148386,2019-03-13T10:50:31
7358908,73.42148386,2019-03-13T05:43:53
7357533,73.42148386,2019-03-13T00:28:04
7356158,73.42148386,2019-03-12T19:23:38
7354783,73.42148386,2019-03-12T14:20:11
7353408,73.42148386,2019-03-12T09:09:53
7352033,73.42148386,2019-03-12T03:56:49
7350658,73.42148386,2019-03-11T22:56:02
7349283,73.42148386,2019-03-11T17:48:51
7347908,73.42148386,2019-03-11T12:35:40
7346533,73.42148386,2019-03-11T07:37:07
7345158,73.42148386,2019-03-11T02:21:57
7343783,73.42148386,2019-03-10T21:00:30
7342408,73.42148386,2019-03-10T16:07:06
7341033,73.42148386,2019-03-10T11:03:14
7339658,73.42148386,2019-03-10T05:48:28
7338283,73.42148386,2019-03-10T00:49:27
7336908,73.42148386,2019-03-09T19:41:40
7335533,73.42148386,2019-03-09T14:29:21
7334158,73.42148386,2019-03-09T09:16:01
7332783,73.42148386,2019-03-09T04:20:35
7331408,73.42148386,2019-03-08T23:04:33
7330033,73.42148386,2019-03-08T17:46:49
7328658,73.42148386,2019-03-08T12:30:57
7327283,73.42148386,2019-03-08T07:26:41
7325908,73.42148386,2019-03-08T02:21:23
7324533,73.42148386,2019-03-07T21:15:51
7323158,73.42148386,2019-03-07T16:12:20
7321783,73.42148386,2019-03-07T11:01:43
7320408,73.42148386,2019-03-07T05:51:01
7319033,73.42148386,2019-03-07T00:36:54
7317658,73.42148386,2019-03-06T19:27:04
7316283,73.42148386,2019-03-06T14:26:27
7314908,73.42148386,2019-03-06T09:24:38
7313533,73.42148386,2019-03-06T04:15:13
7312158,73.42148386,2019-03-05T22:58:25
7310783,73.42148386,2019-03-05T17:56:20
7309408,73.42148386,2019-03-05T12:46:29
7308033,73.42148386,2019-03-05T07:32:27
7306658,73.42148386,2019-03-05T02:18:15
7305283,73.42148386,2019-03-04T21:16:43
7303908,79.42148386,2019-03-04T16:02:37
7302533,79.42148386,2019-03-04T10:58:26
7301158,79.42148386,2019-03-04T05:45:17
7299783,79.42148386,2019-03-04T00:34:12
7298408,79.42148386,2019-03-03T19:24:18
7297033,79.42148386,2019-03-03T14:13:47
7295658,79.42148386,2019-03-03T09:06:43
7294283,79.42148386,2019-03-03T04:00:49
7292908,79.42148386,2019-03-02T22:50:26
7291533,79.42148386,2019-03-02T17:38:49
7290158,79.42148386,2019-03-02T12:18:40
7288783,79.42148386,2019-03-02T07:13:44
7287408,79.42148386,2019-03-02T02:08:45
7286033,79.42148386,2019-03-01T20:53:00
7284658,79.42148386,2019-03-01T15:40:54
7283283,79.42148386,2019-03-01T10:10:40
7281908,79.42148386,2019-03-01T04:41:02
7280533,79.42148386,2019-02-28T22:28:15
7279158,79.42148386,2019-02-28T15:06:25
7277783,79.42148386,2019-02-28T07:17:14
7276408,79.42148386,2019-02-27T23:31:22
7275033,79.42148386,2019-02-27T15:48:44
7273658,79.42148386,2019-02-27T08:21:34
7272283,79.42148386,2019-02-27T00:19:59
7270908,79.42148386,2019-02-26T16:46:47
7269533,79.42148386,2019-02-26T09:02:55
7268158,79.42148386,2019-02-26T01:08:46
7266783,79.42148386,2019-02-25T17:28:57
7265408,79.42148386,2019-02-25T09:40:26
7264033,79.42148386,2019-02-25T01:53:11
7262658,79.42148386,2019-02-24T18:06:49
7261283,79.42148386,2019-02-24T10:31:51
7259908,79.42148386,2019-02-24T02:43:33
7258533,79.42148386,2019-02-23T19:00:53
7257158,79.42148386,2019-02-23T11:24:12
7255783,79.42148386,2019-02-23T03:58:56
7254408,79.42148386,2019-02-22T20:16:31
7253033,79.42148386,2019-02-22T12:18:11
7251658,79.42148386,2019-02-22T04:31:00
7250283,79.42148386,2019-02-21T20:41:10
7248908,79.42148386,2019-02-21T13:04:07
7247533,79.42148386,2019-02-21T05:18:36
7246158,79.42148386,2019-02-20T21:37:19
7244783,79.42148386,2019-02-20T13:46:56
7243408,79.42148386,2019-02-20T05:54:59
7242033,79.42148386,2019-02-19T22:08:22
7240658,72.42148386,2019-02-19T14:16:42
7239283,72.42148386,2019-02-19T06:43:49
7237908,72.42148386,2019-02-18T22:57:09
7236533,72.42148386,2019-02-18T15:07:01
7235158,72.42148386,2019-02-18T07:21:32
7233783,72.42148386,2019-02-17T23:27:04
7232408,72.42148386,2019-02-17T15:31:26
7231033,72.42148386,2019-02-17T07:42:13
7229658,72.42148386,2019-02-16T23:42:38
7228283,72.42148386,2019-02-16T15:56:11
7226908,72.42148386,2019-02-16T08:04:56
7225533,72.42148386,2019-02-16T00:09:16
7224158,72.42148386,2019-02-15T16:12:25
7222783,72.42148386,2019-02-15T08:26:58
7221408,72.42148386,2019-02-15T00:20:33
